,subject,block,clf,nth_letter,correct,correct_sofar,auc,earliest_correct,first_valid,num_target_flashes,mandatory_target_flashes,sample_rate,ntime_features,letter_memory,lowpass,early_stop_sim,postfix_sim
59,1,1,toep_lda,30,True,29,0.9759615384615384,16,6,4,2,40,27,inf,8,False,False
60,1,1,slda,31,False,24,0.75,,5,,1,40,27,inf,8,False,False
61,1,1,toep_lda,31,True,30,0.9555288461538461,20,5,4,1,40,27,inf,8,False,False
62,1,1,slda,32,False,24,0.7572115384615384,,5,,1,40,27,inf,8,False,False
63,1,1,toep_lda,32,True,31,0.9411057692307692,20,5,4,1,40,27,inf,8,False,False
64,1,1,slda,33,True,25,0.7247596153846154,59,5,15,1,40,27,inf,8,False,False
65,1,1,toep_lda,33,True,32,0.9507211538461539,6,5,1,1,40,27,inf,8,False,False
66,1,1,slda,34,True,26,0.8749999999999999,41,6,10,2,40,27,inf,8,False,False
67,1,1,toep_lda,34,True,33,0.9963942307692308,21,6,6,2,40,27,inf,8,False,False
68,1,1,slda,35,True,27,0.8052884615384615,48,5,12,1,40,27,inf,8,False,False
69,1,1,toep_lda,35,True,34,0.889423076923077,17,5,3,1,40,27,inf,8,False,False
70,1,2,slda,1,False,0,0.7367788461538461,,4,,1,40,27,inf,8,False,False
71,1,2,toep_lda,1,True,1,0.795673076923077,16,4,3,1,40,27,inf,8,False,False
72,1,2,slda,2,True,1,0.7884615384615384,42,4,9,1,40,27,inf,8,False,False
73,1,2,toep_lda,2,True,2,0.8774038461538463,32,4,8,1,40,27,inf,8,False,False
74,1,2,slda,3,True,2,0.7680288461538461,65,7,16,2,40,27,inf,8,False,False
75,1,2,toep_lda,3,True,3,0.9110576923076923,16,7,3,2,40,27,inf,8,False,False
76,1,2,slda,4,False,2,0.7283653846153846,,9,,1,40,27,inf,8,False,False
77,1,2,toep_lda,4,True,4,0.8978365384615384,27,9,6,1,40,27,inf,8,False,False
78,1,2,slda,5,True,3,0.811298076923077,61,5,14,2,40,27,inf,8,False,False
79,1,2,toep_lda,5,True,5,0.9375,23,5,5,2,40,27,inf,8,False,False
80,1,2,slda,6,True,4,0.9146634615384617,20,6,4,1,40,27,inf,8,False,False
81,1,2,toep_lda,6,True,6,0.9879807692307693,10,6,2,1,40,27,inf,8,False,False
82,1,2,slda,7,True,5,0.7800480769230769,50,6,12,1,40,27,inf,8,False,False
83,1,2,toep_lda,7,True,7,0.969951923076923,9,6,1,1,40,27,inf,8,False,False
84,1,2,slda,8,True,6,0.8786057692307693,12,5,3,2,40,27,inf,8,False,False
85,1,2,toep_lda,8,True,8,0.9927884615384616,8,5,2,2,40,27,inf,8,False,False
86,1,2,slda,9,True,7,0.889423076923077,34,6,8,2,40,27,inf,8,False,False
87,1,2,toep_lda,9,True,9,0.9771634615384616,24,6,5,2,40,27,inf,8,False,False
88,1,2,slda,10,True,8,0.8052884615384615,29,5,7,2,40,27,inf,8,False,False
89,1,2,toep_lda,10,True,10,0.921875,12,5,2,2,40,27,inf,8,False,False
90,1,2,slda,11,True,9,0.8389423076923076,36,6,9,2,40,27,inf,8,False,False
91,1,2,toep_lda,11,True,11,0.9903846153846154,11,6,3,2,40,27,inf,8,False,False
92,1,2,slda,12,True,10,0.7896634615384616,63,10,14,1,40,27,inf,8,False,False
93,1,2,toep_lda,12,True,12,0.9723557692307692,13,10,2,1,40,27,inf,8,False,False
94,1,2,slda,13,True,11,0.8341346153846154,66,5,15,1,40,27,inf,8,False,False
95,1,2,toep_lda,13,True,13,0.9915865384615385,10,5,2,1,40,27,inf,8,False,False
96,1,2,slda,14,True,12,0.8329326923076923,25,7,7,1,40,27,inf,8,False,False
97,1,2,toep_lda,14,True,14,0.9747596153846154,9,7,2,1,40,27,inf,8,False,False
98,1,2,slda,15,True,13,0.799278846153846,41,5,9,1,40,27,inf,8,False,False
99,1,2,toep_lda,15,True,15,0.9639423076923077,16,5,3,1,40,27,inf,8,False,False
100,1,2,slda,16,True,14,0.829326923076923,13,8,3,2,40,27,inf,8,False,False
101,1,2,toep_lda,16,True,16,0.9651442307692307,13,8,3,2,40,27,inf,8,False,False
102,1,2,slda,17,True,15,0.875,10,9,2,1,40,27,inf,8,False,False
103,1,2,toep_lda,17,True,17,0.9783653846153847,13,9,3,1,40,27,inf,8,False,False
104,1,2,slda,18,True,16,0.8990384615384615,18,7,4,2,40,27,inf,8,False,False
105,1,2,toep_lda,18,True,18,0.9879807692307692,8,7,2,2,40,27,inf,8,False,False
106,1,2,slda,19,True,17,0.8990384615384617,11,7,2,1,40,27,inf,8,False,False
107,1,2,toep_lda,19,True,19,0.9963942307692307,11,7,2,1,40,27,inf,8,False,False
108,1,2,slda,20,True,18,0.9002403846153847,25,6,7,1,40,27,inf,8,False,False
109,1,2,toep_lda,20,True,20,0.9795673076923077,14,6,4,1,40,27,inf,8,False,False
110,1,2,slda,21,True,19,0.919471153846154,17,6,5,1,40,27,inf,8,False,False
111,1,2,toep_lda,21,True,21,0.9927884615384615,17,6,5,1,40,27,inf,8,False,False
112,1,2,slda,22,True,20,0.8533653846153846,46,9,11,0,40,27,inf,8,False,False
113,1,2,toep_lda,22,True,22,0.984375,10,9,1,0,40,27,inf,8,False,False
114,1,2,slda,23,True,21,0.8954326923076924,29,6,7,2,40,27,inf,8,False,False
115,1,2,toep_lda,23,True,23,0.955528846153846,21,6,5,2,40,27,inf,8,False,False
116,1,2,slda,24,True,22,0.8978365384615384,15,7,4,1,40,27,inf,8,False,False
117,1,2,toep_lda,24,True,24,0.9975961538461539,15,7,4,1,40,27,inf,8,False,False
118,1,2,slda,25,False,22,0.8353365384615384,,9,,1,40,27,inf,8,False,False
119,1,2,toep_lda,25,True,25,0.9795673076923076,26,9,6,1,40,27,inf,8,False,False
120,1,2,slda,26,True,23,0.8100961538461539,60,6,13,2,40,27,inf,8,False,False
121,1,2,toep_lda,26,True,26,0.9495192307692308,11,6,3,2,40,27,inf,8,False,False
122,1,2,slda,27,True,24,0.8774038461538463,18,4,4,1,40,27,inf,8,False,False
123,1,2,toep_lda,27,True,27,0.9939903846153847,11,4,2,1,40,27,inf,8,False,False
124,1,2,slda,28,True,25,0.78125,68,3,16,1,40,27,inf,8,False,False
125,1,2,toep_lda,28,True,28,0.9254807692307692,22,3,5,1,40,27,inf,8,False,False
126,1,2,slda,29,True,26,0.8365384615384617,47,4,11,2,40,27,inf,8,False,False
127,1,2,toep_lda,29,True,29,0.9867788461538461,12,4,4,2,40,27,inf,8,False,False
128,1,2,slda,30,True,27,0.8978365384615384,17,6,4,2,40,27,inf,8,False,False
129,1,2,toep_lda,30,True,30,0.9975961538461539,9,6,2,2,40,27,inf,8,False,False
130,1,2,slda,31,True,28,0.8341346153846153,34,5,8,1,40,27,inf,8,False,False
131,1,2,toep_lda,31,True,31,0.983173076923077,10,5,2,1,40,27,inf,8,False,False
132,1,2,slda,32,True,29,0.890625,20,5,4,1,40,27,inf,8,False,False
133,1,2,toep_lda,32,True,32,0.9963942307692307,16,5,3,1,40,27,inf,8,False,False
134,1,2,slda,33,True,30,0.8485576923076923,12,5,2,1,40,27,inf,8,False,False
135,1,2,toep_lda,33,True,33,0.9867788461538463,6,5,1,1,40,27,inf,8,False,False
136,1,2,slda,34,True,31,0.8846153846153846,18,6,5,2,40,27,inf,8,False,False
137,1,2,toep_lda,34,True,34,0.9891826923076924,13,6,4,2,40,27,inf,8,False,False
138,1,2,slda,35,True,32,0.8257211538461539,44,5,10,1,40,27,inf,8,False,False
139,1,2,toep_lda,35,True,35,0.983173076923077,11,5,2,1,40,27,inf,8,False,False
140,1,3,slda,1,False,0,0.7211538461538463,,4,,1,40,27,inf,8,False,False
141,1,3,toep_lda,1,True,1,0.7944711538461539,61,4,15,1,40,27,inf,8,False,False
142,1,3,slda,2,True,1,0.7932692307692307,52,4,12,1,40,27,inf,8,False,False
143,1,3,toep_lda,2,True,2,0.8737980769230769,29,4,7,1,40,27,inf,8,False,False
