,subject,block,clf,nth_letter,correct,correct_sofar,auc,sample_rate,ntime_features,letter_memory,lowpass
80,1,1,slda,41,True,29,0.8955974842767296,100,66,inf,8
81,1,1,toep_lda,41,True,38,0.9547169811320755,100,66,inf,8
82,1,1,slda,42,True,30,0.8602941176470588,100,66,inf,8
83,1,1,toep_lda,42,True,39,0.9987745098039216,100,66,inf,8
84,1,1,slda,43,True,31,0.7355769230769231,100,66,inf,8
85,1,1,toep_lda,43,True,40,0.9387019230769231,100,66,inf,8
86,1,1,slda,44,True,32,0.7944711538461539,100,66,inf,8
87,1,1,toep_lda,44,True,41,0.984375,100,66,inf,8
88,1,1,slda,45,True,33,0.8161057692307693,100,66,inf,8
89,1,1,toep_lda,45,True,42,0.9639423076923077,100,66,inf,8
90,1,1,slda,46,True,34,0.6814903846153847,100,66,inf,8
91,1,1,toep_lda,46,True,43,0.9783653846153846,100,66,inf,8
92,1,1,slda,47,True,35,0.8786057692307693,100,66,inf,8
93,1,1,toep_lda,47,True,44,0.9891826923076923,100,66,inf,8
94,1,1,slda,48,True,36,0.84375,100,66,inf,8
95,1,1,toep_lda,48,True,45,0.9519230769230769,100,66,inf,8
96,1,1,slda,49,True,37,0.751201923076923,100,66,inf,8
97,1,1,toep_lda,49,True,46,0.9507211538461537,100,66,inf,8
98,1,1,slda,50,True,38,0.8581730769230769,100,66,inf,8
99,1,1,toep_lda,50,True,47,0.9615384615384616,100,66,inf,8
100,1,1,slda,51,True,39,0.8004807692307693,100,66,inf,8
101,1,1,toep_lda,51,True,48,0.9723557692307692,100,66,inf,8
102,1,1,slda,52,True,40,0.8810096153846154,100,66,inf,8
103,1,1,toep_lda,52,True,49,0.9915865384615384,100,66,inf,8
104,1,1,slda,53,True,41,0.9110576923076923,100,66,inf,8
105,1,1,toep_lda,53,True,50,0.9927884615384616,100,66,inf,8
106,1,1,slda,54,True,42,0.8617788461538461,100,66,inf,8
107,1,1,toep_lda,54,True,51,0.9435096153846153,100,66,inf,8
108,1,1,slda,55,True,43,0.859375,100,66,inf,8
109,1,1,toep_lda,55,True,52,1.0,100,66,inf,8
110,1,1,slda,56,True,44,0.8677884615384616,100,66,inf,8
